[AVG.LOG.SM] ALL 2013-04-11 15:50:49,938 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001930384096bAAAb8oMqmn3kqsDFAQe7uEvFR1f0D4kwlFlx0XANi+yoipSq/+kTxuF+NQxrbUQoF+FWE6tO2MChRDM1YGlyDpGqngHtdbmQMLNDwcOZ3vdm9COeh2MwUoZrmqzQ9ermi6709w5OEmujnYt9JhySQj4qZLXXCtgQ2wvoRQ6dpkjo1TmI/ys/50nBza2sLm39ByJ+oVFO7wbq6IQ8hToTigZf04k2+Hr8kBrr9uskM1CU9vftTRvDFr28o03yiscmSEsN2YUoI8TosP7eAl1++7QpIaoqwR2foYeAKm3xnvkmCIRHyAsElY96WK2J3M695RvvFtQ/zkxUZ/na1/v+UUE=
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:08,280 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aCyImhZBniD7Nqo6N5EY5k5qqU+DlkdEu
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:08,280 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aCIZsGeLaCYauXzmqjW4Xf7GhoEyN8NkX
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:08,358 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aBORTJc55x57mxRyBBXjJFfmripxNnwXT
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:08,358 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aBwx2ImutfpljzlQoClaI6a5vycfzfxYR
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:08,358 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aDkxXrD9+r4Q4lsPK+cUyZlmf8twP5Phw
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:11,389 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aBORTJc55x57mxRyBBXjJFfmripxNnwXT
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:11,389 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aCrCXR/hHky+Bxe3hactKS6NCka8YOxz3
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:11,389 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aDZragyOS9X5H5uHIeNXhKDDHuperROk1
[AVG.LOG.SM] ALL 2013-04-12 20:09:15,323 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001943425760bAE2vHqGWWYcB9az/Ocl0q39dUtKrk2V9+u9K0QfTRREkVnYNjmDItZV+RvWFP21eo3GqX5pDavR1mn4gvL+gn5MNFRT6d/mjYz+hAHkaTL7neJbCQOZNM/vcXloUlQY3nDwtQAdwiKdQNzNBsafIb6v/OIptN2twwzFTiC70+LzYcxRAu8STjkYsHWC8a8hqaTaSX3rGlitFhzuhH4e6PFbQBJ3EA5/SfMmS+GICL83e2Tn5SdIg+VX8tiHqoeLDdfvVqRCDFMLq/21GAoPWE/c0trqqAgT5z35E0mKxUeItAAjMTTM4EK/wnB4zmvWuj2ZYW+SRJ8zrcUMX2Pd9NKo=
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 20:14:20,716 MAC-AZURE PID:1696 THID:5672 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aBwx2ImutfpljzlQoClaI6a5vycfzfxYR
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 20:14:20,716 MAC-AZURE PID:1696 THID:5672 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aA8raDbvt6OqeJRq77TW/PcHsL97LkPEw
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 20:14:20,716 MAC-AZURE PID:1696 THID:5672 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:556.2799.cc64a62.0 MSG:aDkxXrD9+r4Q4lsPK+cUyZlmf8twP5Phw
[AVG.ADVISOR] ERROR 2013-04-12 20:14:20,716 MAC-AZURE PID:1696 THID:5672 ID:{1FCE1315-4823-4428-A4BD-68D29D420E76}:287.2799.cc64a62.0 MSG:aBwx2ImutfpljzlQoClaI6a5vycfzfxYR
[AVG.ADVISOR] ERROR 2013-04-12 20:14:20,716 MAC-AZURE PID:1696 THID:5672 ID:{1FCE1315-4823-4428-A4BD-68D29D420E76}:106.2799.cc64a62.0 MSG:aCYTZzVTLszhD51RANBJbcnoBPHoMH2wC
